"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\Programavimas\MeetingApp\frontend\src\App.css", "CSS", 0, 33, 0, 0, 6, 39
"d:\Programavimas\MeetingApp\frontend\src\App.js", "JavaScript", 24, 0, 0, 0, 3, 27
"d:\Programavimas\MeetingApp\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Programavimas\MeetingApp\frontend\src\Routes\PrivateRoute.js", "JavaScript", 24, 0, 0, 4, 1, 29
"d:\Programavimas\MeetingApp\frontend\src\Routes\Routes.js", "JavaScript", 85, 0, 0, 0, 3, 88
"d:\Programavimas\MeetingApp\frontend\src\Utils\Role.js", "JavaScript", 5, 0, 0, 0, 0, 5
"d:\Programavimas\MeetingApp\frontend\src\Utils\authenticationService.js", "JavaScript", 17, 0, 0, 1, 3, 21
"d:\Programavimas\MeetingApp\frontend\src\Utils\history.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Programavimas\MeetingApp\frontend\src\Utils\usePromiseSubscription.js", "JavaScript", 16, 0, 0, 1, 4, 21
"d:\Programavimas\MeetingApp\frontend\src\axiosInstance.js", "JavaScript", 74, 0, 0, 2, 11, 87
"d:\Programavimas\MeetingApp\frontend\src\components\EditorTemplate\CreateTemplate.js", "JavaScript", 92, 0, 0, 0, 3, 95
"d:\Programavimas\MeetingApp\frontend\src\components\EditorTemplate\TemplateList.js", "JavaScript", 144, 0, 0, 11, 6, 161
"d:\Programavimas\MeetingApp\frontend\src\components\Footer.js", "JavaScript", 52, 0, 0, 1, 5, 58
"d:\Programavimas\MeetingApp\frontend\src\components\FormContainer.js", "JavaScript", 51, 0, 0, 0, 5, 56
"d:\Programavimas\MeetingApp\frontend\src\components\Generic\GenericModal.js", "JavaScript", 68, 0, 0, 0, 6, 74
"d:\Programavimas\MeetingApp\frontend\src\components\Generic\GenericTable.js", "JavaScript", 143, 0, 0, 0, 8, 151
"d:\Programavimas\MeetingApp\frontend\src\components\Generic\GenericTableHead.js", "JavaScript", 61, 0, 0, 0, 7, 68
"d:\Programavimas\MeetingApp\frontend\src\components\ListPage.js", "JavaScript", 34, 0, 0, 2, 5, 41
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\CreateItemModal.js", "JavaScript", 64, 0, 0, 0, 3, 67
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\CreateMeetingDetailsForm.js", "JavaScript", 62, 0, 0, 0, 6, 68
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\EditItemModal.js", "JavaScript", 65, 0, 0, 0, 3, 68
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\EditMeetingDetailsForm.js", "JavaScript", 75, 0, 0, 1, 6, 82
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\EditMeetingPage.js", "JavaScript", 100, 0, 0, 1, 3, 104
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\ItemModal.js", "JavaScript", 218, 0, 0, 0, 8, 226
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\ItemModalView.js", "JavaScript", 95, 0, 0, 2, 6, 103
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MeetingDetailsForm.js", "JavaScript", 79, 0, 0, 0, 4, 83
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MeetingList.js", "JavaScript", 154, 0, 0, 1, 9, 164
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MeetingUsersView.js", "JavaScript", 75, 0, 0, 0, 5, 80
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MeetingViewPage.js", "JavaScript", 86, 0, 0, 1, 3, 90
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MyEditor.js", "JavaScript", 50, 0, 0, 0, 6, 56
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\MyEditorView.js", "JavaScript", 38, 0, 0, 0, 5, 43
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\TodoItemListEdit.js", "JavaScript", 168, 0, 0, 0, 7, 175
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\TodoItemListView.js", "JavaScript", 100, 0, 0, 0, 5, 105
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\UserMeetingList.js", "JavaScript", 97, 0, 0, 2, 8, 107
"d:\Programavimas\MeetingApp\frontend\src\components\Meeting\UserSelect.js", "JavaScript", 111, 0, 0, 1, 6, 118
"d:\Programavimas\MeetingApp\frontend\src\components\Navigation\Navbar.js", "JavaScript", 108, 0, 0, 4, 4, 116
"d:\Programavimas\MeetingApp\frontend\src\components\SignIn.js", "JavaScript", 138, 0, 0, 0, 6, 144
"d:\Programavimas\MeetingApp\frontend\src\components\UserAdmin\CreateUserForm.js", "JavaScript", 63, 0, 0, 0, 6, 69
"d:\Programavimas\MeetingApp\frontend\src\components\UserAdmin\EditUserForm.js", "JavaScript", 77, 0, 0, 1, 6, 84
"d:\Programavimas\MeetingApp\frontend\src\components\UserAdmin\UserForm.js", "JavaScript", 137, 0, 0, 0, 4, 141
"d:\Programavimas\MeetingApp\frontend\src\components\UserAdmin\UserList.js", "JavaScript", 162, 0, 0, 2, 7, 171
"d:\Programavimas\MeetingApp\frontend\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"d:\Programavimas\MeetingApp\frontend\src\index.js", "JavaScript", 10, 0, 0, 5, 3, 18
"d:\Programavimas\MeetingApp\frontend\src\logo.svg", "XML", 0, 0, 7, 0, 1, 8
"d:\Programavimas\MeetingApp\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Programavimas\MeetingApp\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 3244, 45, 7, 47, 213, 3556
